index,start_expression,halide_result,halide_time
3071,( / ( + ( + 0 ( - ( + ( min v0 64 ) v1 ) 64 ) ) 1 ) 2 ),( / ( - ( + ( min v0 64 ) v1 ) 63 ) 2 ),8
3072,( min ( - ( * v0 2 ) 1 ) ( + ( * v0 2 ) 2 ) ),( - ( * v0 2 ) 1 ),10
3073,( max ( min ( max ( / ( + ( - v0 v1 ) 7 ) 8 ) 0 ) ( / ( + ( - v2 v1 ) 7 ) 8 ) ) ( / ( - ( min ( + v3 v0 ) v2 ) v1 ) 8 ) ),( max ( min ( max ( / ( + ( - v0 v1 ) 7 ) 8 ) 0 ) ( / ( + ( - v2 v1 ) 7 ) 8 ) ) ( / ( - ( min ( + v3 v0 ) v2 ) v1 ) 8 ) ),13
3074,( min ( - ( + ( / ( + ( min v0 8 ) v1 ) 2 ) ( * 0 8 ) ) 4 ) ( - ( / ( + v0 v1 ) 2 ) 7 ) ),( - ( / ( + ( min v0 14 ) v1 ) 2 ) 7 ),13
3075,( - ( * ( + v0 8 ) v1 ) v2 ),( - ( * ( + v0 8 ) v1 ) v2 ),4
3076,( - ( / ( + ( + v0 v1 ) 30 ) 32 ) ( / v1 32 ) ),( - ( / ( + ( + v0 v1 ) 30 ) 32 ) ( / v1 32 ) ),19
3077,( - ( max v0 0 ) ( max v1 0 ) ),( - ( max v0 0 ) ( max v1 0 ) ),9
3078,( min ( min ( * ( min ( - v0 63 ) v1 ) 2 ) ( - ( * ( min ( min ( - ( min v0 v2 ) 63 ) v3 ) v1 ) 2 ) 1 ) ) ( + 0 ( - ( + ( min v4 256 ) v5 ) 256 ) ) ),( min ( min ( * ( min ( - v0 63 ) v1 ) 2 ) ( - ( * ( min ( min ( - ( min v0 v2 ) 63 ) v3 ) v1 ) 2 ) 1 ) ) ( - ( + ( min v4 256 ) v5 ) 256 ) ),13
3079,( + ( + ( min ( * v0 8 ) 121 ) v1 ) 0 ),( + ( min ( * v0 8 ) 121 ) v1 ),9
3080,( + ( * ( + v0 v1 ) 16 ) 8 ),( + ( * ( + v0 v1 ) 16 ) 8 ),4
3081,( / ( - ( / ( + v0 230 ) 4 ) ( / v0 4 ) ) 8 ),( / ( + ( % v0 4 ) 230 ) 32 ),12
3082,( min ( + ( * ( + 0 ( min ( - v0 7 ) v1 ) ) 2 ) 2 ) ( - ( * ( + 0 ( min ( - v0 7 ) v1 ) ) 2 ) 1 ) ),( - ( * ( min ( - v0 7 ) v1 ) 2 ) 1 ),20
3083,( - ( / ( - ( + v0 v1 ) 162 ) 64 ) v2 ),( - ( / ( - ( + v0 v1 ) 162 ) 64 ) v2 ),6
3084,( / ( - ( + v0 v1 ) 64 ) 16 ),( - ( / ( + v0 v1 ) 16 ) 4 ),2
3085,( max ( + ( * v0 2 ) 1 ) ( + ( * v0 2 ) 2 ) ),( + ( * v0 2 ) 2 ),7
3086,( + ( - ( / ( - v0 98 ) 16 ) v1 ) ( * ( + v2 8 ) v3 ) ),( + ( * ( + v2 8 ) v3 ) ( - ( / ( - v0 98 ) 16 ) v1 ) ),7
3087,( / ( + v0 31 ) 16 ),( / ( + v0 31 ) 16 ),5
3088,( min ( - ( + ( * ( / ( - ( max v0 8 ) 1 ) 8 ) 8 ) ( + ( min v0 8 ) v1 ) ) 8 ) ( - ( + v0 v1 ) 8 ) ),( - ( min ( + ( * ( / ( - ( max v0 8 ) 1 ) 8 ) 8 ) ( + ( min v0 8 ) v1 ) ) ( + v0 v1 ) ) 8 ),33
3089,( min ( + v0 ( * v1 8 ) ) ( - v2 7 ) ),( min ( + ( * v1 8 ) v0 ) ( - v2 7 ) ),9
3090,( max ( max ( / ( + ( + v0 v1 ) 2 ) 4 ) ( + ( * ( min ( + ( * ( / ( - v2 v3 ) 16 ) 16 ) v3 ) ( - v2 15 ) ) 2 ) 32 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 32 ) 32 ) v5 ) 31 ) v4 ) ),( max ( max ( / ( + ( + v0 v1 ) 2 ) 4 ) ( + ( * ( min ( + ( * ( / ( - v2 v3 ) 16 ) 16 ) v3 ) ( - v2 15 ) ) 2 ) 32 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 32 ) 32 ) v5 ) 31 ) v4 ) ),13
3091,( && ( && ( && ( && 1 ( && ( != v0 v1 ) ( == v0 v1 ) ) ) ( && ( != v0 v1 ) ( == v2 v3 ) ) ) 1 ) 1 ),0,38
3092,( / ( + v0 7 ) 8 ),( / ( + v0 7 ) 8 ),2
3093,( max ( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) 2 ) ( + 7 ( min ( / ( - ( + v2 v3 ) 50 ) 8 ) ( - ( + ( / ( + ( min v2 8 ) v3 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v2 v3 ) 6 ) 8 ) ( / ( + ( min v2 8 ) v3 ) 8 ) ) 1 ) 8 ) 8 ) ) 1 ) ) ) ),( + ( max ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) ( + ( min ( / ( - ( + v2 v3 ) 50 ) 8 ) ( - ( + ( / ( + ( min v2 8 ) v3 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v2 v3 ) 6 ) 8 ) ( / ( + ( min v2 8 ) v3 ) 8 ) ) 1 ) 8 ) 8 ) ) 1 ) ) 5 ) ) 2 ),24
3094,( + ( - ( + ( max v0 0 ) 1 ) ( max v1 0 ) ) 1 ),( + ( - ( max v0 0 ) ( max v1 0 ) ) 2 ),22
3095,( <= ( max 0 ( + ( min ( / ( - ( / ( - ( + v0 v1 ) 770 ) 128 ) ( / v1 128 ) ) 8 ) ( - ( + 0 ( + ( / v2 8 ) 1 ) ) 1 ) ) 1 ) ) 0 ),( <= ( min ( - ( / ( - ( + v0 v1 ) 770 ) 128 ) ( / v1 128 ) ) v2 ) -1 ),39
3096,( - ( / ( - ( + v0 v1 ) 770 ) 128 ) ( / ( - ( + ( min v0 770 ) v1 ) 770 ) 128 ) ),( - ( / ( - ( + v0 v1 ) 770 ) 128 ) ( / ( - ( + ( min v0 770 ) v1 ) 770 ) 128 ) ),7
3097,( min ( / ( / v0 32 ) 2 ) ( / ( + ( / v0 32 ) 1 ) 2 ) ),( / v0 64 ),9
3098,( + 0 ( / ( - ( + ( min v0 50 ) v1 ) 50 ) 8 ) ),( / ( - ( + ( min v0 50 ) v1 ) 50 ) 8 ),3
3099,( / ( - ( + ( / v0 2 ) 121 ) ( / v0 2 ) ) 8 ),15,5
3100,( / ( + v0 1 ) 2 ),( / ( + v0 1 ) 2 ),5
3101,( min ( - ( / ( - ( + v0 v1 ) 194 ) 32 ) ( / v1 32 ) ) v2 ),( min ( - ( / ( - ( + v0 v1 ) 194 ) 32 ) ( / v1 32 ) ) v2 ),8
3102,( min ( + ( * 0 8 ) v0 ) ( - v1 7 ) ),( min ( - v1 7 ) v0 ),19
3103,( + ( - ( max v0 0 ) ( max v1 0 ) ) 2 ),( + ( - ( max v0 0 ) ( max v1 0 ) ) 2 ),29
3104,v0,v0,18
3105,( > v0 ( - ( + v1 v0 ) 1 ) ),( < v1 1 ),13
3106,( / ( + ( + ( - ( + 64 0 ) 1 ) v0 ) 7 ) 8 ),( / ( + v0 70 ) 8 ),3
3107,( + ( - ( + ( min v0 256 ) v1 ) 256 ) 255 ),( - ( + ( min v0 256 ) v1 ) 1 ),6
3108,( max ( / ( + ( max ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / ( + ( min v0 8 ) v1 ) 8 ) ) 1 ) 8 ) 8 ) ) 1 ) ) ( min ( / ( - ( + v0 v1 ) 42 ) 8 ) ( + ( / ( + ( min v0 8 ) v1 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / ( + ( min v0 8 ) v1 ) 8 ) ) 1 ) 8 ) 8 ) ) ) ) 7 ) 2 ) ( + ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ) 8 ) 8 ) ) ) 7 ) ),( max ( / ( + ( max ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / ( + ( min v0 8 ) v1 ) 8 ) ) 1 ) 8 ) 8 ) ) 1 ) ) ( min ( / ( - ( + v0 v1 ) 42 ) 8 ) ( + ( / ( + ( min v0 8 ) v1 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / ( + ( min v0 8 ) v1 ) 8 ) ) 1 ) 8 ) 8 ) ) ) ) 7 ) 2 ) ( + ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ) 8 ) 8 ) ) ) 7 ) ),32
3109,( min ( / ( - ( + ( min v0 386 ) v1 ) 386 ) 64 ) ( + 0 ( / ( - ( + ( min v0 386 ) v1 ) 386 ) 64 ) ) ),( / ( - ( + ( min v0 386 ) v1 ) 386 ) 64 ),7
3110,( && ( && ( && ( && ( && 1 ( && ( != v0 v1 ) ( == v0 v1 ) ) ) ( && ( != v0 v1 ) ( == v2 v3 ) ) ) ( && ( != v0 v1 ) ( == v4 v5 ) ) ) 1 ) 1 ),0,22
3111,( min ( + ( / v0 128 ) ( * ( / ( - ( / ( + ( + v1 v0 ) 126 ) 128 ) ( / v0 128 ) ) 8 ) 8 ) ) ( / ( - ( + v1 v0 ) 770 ) 128 ) ),( min ( / ( - ( + v1 v0 ) 770 ) 128 ) ( + ( / v0 128 ) ( * ( / ( - ( / ( + ( + v1 v0 ) 126 ) 128 ) ( / v0 128 ) ) 8 ) 8 ) ) ),7
3112,( + 0 ( min ( - v0 7 ) v1 ) ),( min ( - v0 7 ) v1 ),8
3113,( - ( / ( + ( min v0 8 ) v1 ) 8 ) 1 ),( - ( / ( + ( min v0 8 ) v1 ) 8 ) 1 ),23
3114,( + ( - ( max ( max ( max ( / ( + ( min ( / ( - ( + v0 v1 ) 194 ) 32 ) ( + ( / v1 32 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 30 ) 32 ) ( / v1 32 ) ) 8 ) 8 ) ) ) 7 ) 2 ) ( + ( max ( min ( / ( - ( + v0 v1 ) 386 ) 64 ) ( + ( / v1 64 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 62 ) 64 ) ( / v1 64 ) ) 8 ) 8 ) ) ) ( + ( * ( min ( / ( - ( + v0 v1 ) 770 ) 128 ) ( + ( / v1 128 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 126 ) 128 ) ( / v1 128 ) ) 8 ) 8 ) ) ) 2 ) 9 ) ) 7 ) ) ( + ( / ( min ( / ( - ( + v0 v1 ) 194 ) 32 ) ( + ( / v1 32 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 30 ) 32 ) ( / v1 32 ) ) 8 ) 8 ) ) ) 2 ) 4 ) ) ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) ) ( min ( min ( min ( / ( - ( + ( min v0 386 ) v1 ) 386 ) 64 ) ( - ( * ( / ( - ( + ( min v0 770 ) v1 ) 770 ) 128 ) 2 ) 1 ) ) ( - v2 7 ) ) v3 ) ) 1 ),( + ( - ( max ( max ( max ( / ( + ( min ( / ( - ( + v0 v1 ) 194 ) 32 ) ( + ( / v1 32 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 30 ) 32 ) ( / v1 32 ) ) 8 ) 8 ) ) ) 7 ) 2 ) ( + ( max ( min ( / ( - ( + v0 v1 ) 386 ) 64 ) ( + ( / v1 64 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 62 ) 64 ) ( / v1 64 ) ) 8 ) 8 ) ) ) ( + ( * ( min ( / ( - ( + v0 v1 ) 770 ) 128 ) ( + ( / v1 128 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 126 ) 128 ) ( / v1 128 ) ) 8 ) 8 ) ) ) 2 ) 9 ) ) 7 ) ) ( + ( / ( min ( / ( - ( + v0 v1 ) 194 ) 32 ) ( + ( / v1 32 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 30 ) 32 ) ( / v1 32 ) ) 8 ) 8 ) ) ) 2 ) 4 ) ) ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) ) ( min ( min ( min ( / ( - ( + ( min v0 386 ) v1 ) 386 ) 64 ) ( - ( * ( / ( - ( + ( min v0 770 ) v1 ) 770 ) 128 ) 2 ) 1 ) ) ( - v2 7 ) ) v3 ) ) 1 ),38
3115,( + v0 ( / ( + v1 1 ) 2 ) ),( + ( / ( + v1 1 ) 2 ) v0 ),13
3116,( / ( + ( % ( + v0 ( min ( * v1 256 ) ( - v2 256 ) ) ) 4 ) 230 ) 4 ),( / ( + ( % ( + ( min ( * v1 256 ) ( - v2 256 ) ) v0 ) 4 ) 230 ) 4 ),25
3117,( - ( / ( + ( min v0 8 ) v1 ) 2 ) 4 ),( - ( / ( + ( min v0 8 ) v1 ) 2 ) 4 ),7
3118,( min ( - ( * v0 2 ) 1 ) ( - ( * v0 2 ) 1 ) ),( - ( * v0 2 ) 1 ),4
3119,( / ( - v0 82 ) 32 ),( / ( - v0 82 ) 32 ),8
3120,( min ( - ( * v0 2 ) 1 ) v1 ),( min ( - ( * v0 2 ) 1 ) v1 ),8
3121,( max ( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) 2 ) ( * ( + 7 ( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ) ) 2 ) ),( + ( * ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 2 ) 2 ),33
3122,( / ( - ( + ( min v0 26 ) v1 ) 26 ) 4 ),( / ( - ( + ( min v0 26 ) v1 ) 26 ) 4 ),15
3123,( min ( - ( min ( / ( + ( min v0 256 ) v1 ) 4 ) ( + ( * ( min ( - v2 15 ) v3 ) 2 ) 63 ) ) 64 ) ( + 0 ( min ( - v4 31 ) v5 ) ) ),( min ( min ( - v4 31 ) v5 ) ( - ( min ( / ( + ( min v0 256 ) v1 ) 4 ) ( + ( * ( min ( - v2 15 ) v3 ) 2 ) 63 ) ) 64 ) ),11
3124,( <= ( - v0 v1 ) 0 ),( <= v0 v1 ),10
3125,( <= ( - ( / v0 8 ) ( max ( / v1 8 ) -1 ) ) 0 ),( <= ( / v0 8 ) ( max ( / v1 8 ) -1 ) ),29
3126,( max v0 8 ),( max v0 8 ),6
3127,( min ( - ( * v0 2 ) 1 ) ( - ( / ( + ( min v1 64 ) v2 ) 16 ) 4 ) ),( - ( min ( / ( + ( min v1 64 ) v2 ) 16 ) ( + ( * v0 2 ) 3 ) ) 4 ),7
3128,( max ( min ( + 7 ( min ( + ( * ( / ( - ( - v0 v1 ) 1 ) 8 ) 8 ) v1 ) ( - v0 8 ) ) ) ( - ( + v2 v3 ) 1 ) ) v3 ),( max ( - ( min ( min ( + ( + ( * ( / ( - ( - v0 v1 ) 1 ) 8 ) 8 ) v1 ) 8 ) v0 ) ( + v2 v3 ) ) 1 ) v3 ),56
3129,( min ( / v0 32 ) ( - ( * v1 2 ) 1 ) ),( min ( / v0 32 ) ( - ( * v1 2 ) 1 ) ),6
3130,( max ( max ( max ( / ( + ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / ( + ( min v0 8 ) v1 ) 8 ) ) 1 ) 8 ) 8 ) ) 1 ) ) 7 ) 2 ) ( + ( max ( * v2 2 ) ( + ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ) 8 ) 8 ) ) ) 5 ) ) 2 ) ) ( + ( / ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / ( + ( min v0 8 ) v1 ) 8 ) ) 1 ) 8 ) 8 ) ) 1 ) ) 2 ) 4 ) ) ( min ( + ( + ( * ( / ( - v3 v4 ) 8 ) 8 ) v4 ) 7 ) v3 ) ),( max ( max ( max ( / ( + ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / ( + ( min v0 8 ) v1 ) 8 ) ) 1 ) 8 ) 8 ) ) 1 ) ) 7 ) 2 ) ( + ( max ( * v2 2 ) ( + ( min ( / ( - ( + v0 v1 ) 98 ) 16 ) ( + ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ( * ( / ( - ( / ( + ( + v0 v1 ) 14 ) 16 ) ( / ( - ( + ( min v0 8 ) v1 ) 8 ) 16 ) ) 8 ) 8 ) ) ) 5 ) ) 2 ) ) ( + ( / ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / ( + ( min v0 8 ) v1 ) 8 ) ) 1 ) 8 ) 8 ) ) 1 ) ) 2 ) 4 ) ) ( min ( + ( + ( * ( / ( - v3 v4 ) 8 ) 8 ) v4 ) 7 ) v3 ) ),32
3131,( / ( + ( + v0 v1 ) 2 ) 4 ),( / ( + ( + v0 v1 ) 2 ) 4 ),17
3132,( / ( - ( + ( min v0 256 ) v1 ) 256 ) 8 ),( - ( / ( + ( min v0 256 ) v1 ) 8 ) 32 ),5
3133,( + ( max ( min ( + v0 ( * 6 1 ) ) ( - ( + v1 v2 ) 1 ) ) v2 ) ( - ( + ( * ( max ( min v3 ( - ( + v4 v5 ) 1 ) ) v5 ) v6 ) ( * ( max ( min ( - ( + v7 v8 ) 1 ) v9 ) v8 ) v10 ) ) ( + ( * v8 v10 ) ( + ( * v5 v6 ) v2 ) ) ) ),( + ( max ( - ( min ( + v0 7 ) ( + v1 v2 ) ) 1 ) v2 ) ( - ( + ( * ( max ( min ( - ( + v4 v5 ) 1 ) v3 ) v5 ) v6 ) ( * ( max ( min ( - ( + v7 v8 ) 1 ) v9 ) v8 ) v10 ) ) ( + ( * v8 v10 ) ( + ( * v5 v6 ) v2 ) ) ) ),25
3134,( max ( max ( / ( + ( + v0 v1 ) 2 ) 4 ) ( + ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 32 ) 32 ) v3 ) 31 ) v2 ) 2 ) 2 ) ) ( + 31 ( min ( + ( * ( / ( - v4 v5 ) 32 ) 32 ) v5 ) ( - v4 31 ) ) ) ),( max ( max ( / ( + ( + v0 v1 ) 2 ) 4 ) ( + ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 32 ) 32 ) v3 ) 31 ) v2 ) 2 ) 2 ) ) ( min ( + ( + ( * ( / ( - v4 v5 ) 32 ) 32 ) v5 ) 31 ) v4 ) ),43
3135,( <= ( + ( / v0 8 ) 1 ) 0 ),( <= v0 -1 ),9
3136,( - ( * ( % ( / ( + v0 v1 ) 2 ) 4 ) ( + v2 1 ) ) v3 ),( - ( * ( % ( / ( + v1 v0 ) 2 ) 4 ) ( + v2 1 ) ) v3 ),8
3137,( / ( + ( % ( + v0 v1 ) 8 ) 270 ) 8 ),( / ( + ( % ( + v0 v1 ) 8 ) 270 ) 8 ),4
3138,( / ( + ( / ( - ( + ( min ( + ( * ( + v0 v1 ) 8 ) v2 ) ( + v3 1 ) ) ( + v4 v5 ) ) 6 ) 4 ) 1 ) 2 ),( / ( - ( + ( min ( + ( * ( + v0 v1 ) 8 ) v2 ) ( + v3 1 ) ) ( + v4 v5 ) ) 2 ) 8 ),8
3139,( + ( - ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) ( min ( - v0 7 ) v1 ) ) 1 ),( + ( - ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) ( min ( - v0 7 ) v1 ) ) 1 ),68
3140,( max ( + ( / ( min ( / ( - ( + v0 v1 ) 26 ) 4 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 4 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 2 ) 4 ) ( / ( + ( min v0 8 ) v1 ) 4 ) ) 2 ) 8 ) 8 ) ) 2 ) ) 2 ) 4 ) ( + 7 ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / ( + ( min v0 8 ) v1 ) 8 ) ) 1 ) 8 ) 8 ) ) 1 ) ) ) ),( + ( max ( / ( min ( / ( - ( + v0 v1 ) 26 ) 4 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 4 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 2 ) 4 ) ( / ( + ( min v0 8 ) v1 ) 4 ) ) 2 ) 8 ) 8 ) ) 2 ) ) 2 ) ( + ( min ( / ( - ( + v0 v1 ) 50 ) 8 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 8 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 6 ) 8 ) ( / ( + ( min v0 8 ) v1 ) 8 ) ) 1 ) 8 ) 8 ) ) 1 ) ) 3 ) ) 4 ),32
3141,( / ( + ( - ( + v0 v1 ) 64 ) 78 ) 16 ),( / ( + ( + v0 v1 ) 14 ) 16 ),20
3142,( <= ( + ( - ( / ( - v0 v1 ) 8 ) ( max ( / ( + ( - v0 v1 ) 1 ) 8 ) 0 ) ) 1 ) 0 ),( <= ( + ( / ( - v0 v1 ) 8 ) 1 ) ( max ( / ( + ( - v0 v1 ) 1 ) 8 ) 0 ) ),21
3143,( max ( max ( min ( / ( + v0 v1 ) 2 ) ( + ( + ( / ( + ( min v0 8 ) v1 ) 2 ) ( * ( / ( + ( - ( / ( + v0 v1 ) 2 ) ( / ( + ( min v0 8 ) v1 ) 2 ) ) 4 ) 8 ) 8 ) ) 3 ) ) ( + ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) 2 ) ) ( / ( + 7 ( - ( min ( + ( * ( / ( - ( max v0 8 ) 1 ) 8 ) 8 ) ( + ( min v0 8 ) v1 ) ) ( + v0 v1 ) ) 8 ) ) 2 ) ),( max ( max ( min ( / ( + v0 v1 ) 2 ) ( + ( + ( / ( + ( min v0 8 ) v1 ) 2 ) ( * ( / ( + ( - ( / ( + v0 v1 ) 2 ) ( / ( + ( min v0 8 ) v1 ) 2 ) ) 4 ) 8 ) 8 ) ) 3 ) ) ( + ( * ( min ( + ( + ( * ( / ( - v2 v3 ) 8 ) 8 ) v3 ) 7 ) v2 ) 2 ) 2 ) ) ( / ( - ( min ( + ( * ( / ( - ( max v0 8 ) 1 ) 8 ) 8 ) ( + ( min v0 8 ) v1 ) ) ( + v0 v1 ) ) 1 ) 2 ) ),21
3144,( min ( + ( * ( / ( - ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) ( min ( - v0 7 ) v1 ) ) 8 ) 8 ) ( min ( - v0 7 ) v1 ) ) ( - ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) 7 ) ),( min ( min ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) ( - v0 7 ) ) ( + ( min ( - v0 7 ) v1 ) ( * ( / ( - ( min ( + ( + ( * ( / ( - v0 v1 ) 8 ) 8 ) v1 ) 7 ) v0 ) ( min ( - v0 7 ) v1 ) ) 8 ) 8 ) ) ),69
3145,( + 7 ( min ( / ( - ( + v0 v1 ) 26 ) 4 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 4 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 2 ) 4 ) ( / ( + ( min v0 8 ) v1 ) 4 ) ) 2 ) 8 ) 8 ) ) 2 ) ) ),( + ( min ( / ( - ( + v0 v1 ) 26 ) 4 ) ( - ( + ( / ( + ( min v0 8 ) v1 ) 4 ) ( * ( / ( + ( - ( / ( + ( + v0 v1 ) 2 ) 4 ) ( / ( + ( min v0 8 ) v1 ) 4 ) ) 2 ) 8 ) 8 ) ) 2 ) ) 7 ),31
3146,( min ( min ( / ( - ( + ( min v0 50 ) v1 ) 50 ) 8 ) ( - ( * ( min ( - v2 7 ) v3 ) 2 ) 1 ) ) ( / ( + 0 ( / ( - ( + ( min v0 26 ) v1 ) 26 ) 4 ) ) 2 ) ),( min ( / ( - ( + ( min v0 50 ) v1 ) 50 ) 8 ) ( - ( * ( min ( - v2 7 ) v3 ) 2 ) 1 ) ),39
3147,( min ( * ( / ( - v0 1 ) 64 ) 64 ) ( - v0 64 ) ),( - v0 64 ),7
3148,( min ( - ( min ( / ( + ( min v0 64 ) v1 ) 8 ) ( + ( * ( min ( - v2 7 ) v3 ) 2 ) 7 ) ) 8 ) ( / ( - ( / ( + ( min v0 64 ) v1 ) 4 ) 16 ) 2 ) ),( - ( min ( / ( + ( min v0 64 ) v1 ) 8 ) ( + ( * ( min ( - v2 7 ) v3 ) 2 ) 7 ) ) 8 ),34
3149,( max ( + ( * ( max ( min ( + ( + ( * ( / ( - v0 v1 ) 64 ) 64 ) v1 ) 63 ) v0 ) v2 ) 2 ) 2 ) ( + ( * v2 2 ) 2 ) ),( + ( * ( max ( min ( + ( + ( * ( / ( - v0 v1 ) 64 ) 64 ) v1 ) 63 ) v0 ) v2 ) 2 ) 2 ),27
3150,( min ( + 0 ( / ( - ( + ( min v0 50 ) v1 ) 50 ) 8 ) ) ( / ( - ( + ( min v0 26 ) v1 ) 26 ) 8 ) ),( / ( - ( + ( min v0 50 ) v1 ) 50 ) 8 ),29
3151,( + ( + ( + ( * v0 v1 ) v2 ) v3 ) 0 ),( + ( + ( * v0 v1 ) v2 ) v3 ),4
3152,( && ( && ( && ( && 1 ( && ( != v0 v1 ) ( == v2 v3 ) ) ) ( && ( != v0 v1 ) ( == v0 v1 ) ) ) 1 ) 1 ),0,25
3153,( / ( - ( + v0 v1 ) 64 ) 8 ),( - ( / ( + v0 v1 ) 8 ) 8 ),24
3154,( - ( * ( - ( + v0 v1 ) 1 ) v2 ) v3 ),( - ( * ( - ( + v0 v1 ) 1 ) v2 ) v3 ),4
3155,( / ( - v0 258 ) 128 ),( / ( - v0 258 ) 128 ),1
3156,( + ( * ( min ( + ( * ( / ( - v0 v1 ) 128 ) 128 ) v1 ) ( - v0 127 ) ) 2 ) 256 ),( + ( * ( min ( + ( * ( / ( - v0 v1 ) 128 ) 128 ) v1 ) ( - v0 127 ) ) 2 ) 256 ),8
