ID,Expression
3734,( == ( * ( / ( * ( / v0 ( / ( + v1 64 ) 63 ) ) -126 ) 63 ) 63 ) ( * ( / v0 ( / ( + v1 64 ) 63 ) ) -126 ) )
3735,( == 0 ( - ( + 0 ( - 18 ( * ( max v0 1 ) 9 ) ) ) 1 ) )
3736,( == ( min ( - ( / ( + ( + v0 v1 ) 15 ) 4 ) ( / v1 4 ) ) ( + v2 3 ) ) ( min ( - ( / ( + ( + v0 v1 ) 15 ) 4 ) ( / v1 4 ) ) ( + v2 3 ) ) )
3737,( == ( + ( / ( - ( / ( - ( + v0 v1 ) 1 ) 32 ) ( / v1 32 ) ) 2 ) 1 ) ( + ( / ( - ( / ( - ( + v0 v1 ) 1 ) 32 ) ( / v1 32 ) ) 2 ) 1 ) )
3738,( == ( min ( - 251 ( * v0 16 ) ) ( + ( - ( / ( + ( + v1 v2 ) 5 ) 2 ) ( + ( * v0 16 ) v3 ) ) 2 ) ) ( min ( - 251 ( * v0 16 ) ) ( + ( - ( / ( + ( + v1 v2 ) 5 ) 2 ) ( + ( * v0 16 ) v3 ) ) 2 ) ) )
3739,( == ( + ( min ( / ( - ( + v0 v1 ) 113 ) 8 ) ( - ( + ( / v1 8 ) ( * v2 16 ) ) 5 ) ) ( * v3 4 ) ) ( + ( min ( / ( - ( + v0 v1 ) 113 ) 8 ) ( - ( + ( / v1 8 ) ( * v2 16 ) ) 5 ) ) ( * v3 4 ) ) )
3740,( == ( + ( min ( * v0 32 ) 468 ) ( + ( min ( + ( * v1 500 ) 500 ) v2 ) v3 ) ) ( + ( min ( * v0 32 ) 468 ) ( + ( min ( + ( * v1 500 ) 500 ) v2 ) v3 ) ) )
3741,( == ( - ( - ( max ( min ( * ( / ( + ( + v0 v1 ) 127 ) 32 ) 4 ) 246 ) -3 ) ( * v2 4 ) ) ( max ( min ( * ( / v1 32 ) 4 ) 281 ) 32 ) ) ( - ( - ( max ( min ( * ( / ( + ( + v0 v1 ) 127 ) 32 ) 4 ) 246 ) -3 ) ( * v2 4 ) ) ( max ( min ( * ( / v1 32 ) 4 ) 281 ) 32 ) ) )
3742,( == ( / ( + ( - ( / ( + ( + v0 v1 ) 188 ) 63 ) ( / v1 63 ) ) 13 ) 8 ) ( / ( + ( - ( / ( + ( + v0 v1 ) 188 ) 63 ) ( / v1 63 ) ) 13 ) 8 ) )
3743,( > ( - 0 ( * ( + v0 v1 ) 8 ) ) ( - 249 ( * ( + v0 v1 ) 8 ) ) )
3744,( == ( - ( * v0 8 ) 56 ) ( - ( + ( - ( * v0 8 ) 56 ) ( + ( * ( min v1 13 ) 8 ) 100 ) ) 1 ) )
3745,( == ( min ( + ( max ( - ( / ( + v0 7 ) 4 ) ( / v1 4 ) ) -1 ) 1 ) v2 ) ( min ( + ( max ( - ( / ( + v0 7 ) 4 ) ( / v1 4 ) ) -1 ) 1 ) v2 ) )
3746,( == ( min ( - 960 ( * ( + ( * v0 121 ) ( + ( * v1 61 ) v2 ) ) 4 ) ) ( - 483 ( * ( + ( * v1 61 ) v2 ) 4 ) ) ) ( min ( - 960 ( * ( + ( * v0 121 ) ( + ( * v1 61 ) v2 ) ) 4 ) ) ( - 483 ( * ( + ( * v1 61 ) v2 ) 4 ) ) ) )
3747,( == ( + ( min v0 1962 ) ( * v1 4 ) ) ( + ( min v0 1962 ) ( * v1 4 ) ) )
3748,( < ( - ( + v0 v1 ) 6 ) ( - ( + ( + v0 1 ) v1 ) 6 ) )
3749,( == ( - ( min ( - ( / ( + ( + v0 v1 ) 7 ) 8 ) ( * v2 126 ) ) ( + ( / v1 8 ) 125 ) ) ( + ( / v1 8 ) ( * v3 4 ) ) ) ( - ( min ( - ( / ( + ( + v0 v1 ) 7 ) 8 ) ( * v2 126 ) ) ( + ( / v1 8 ) 125 ) ) ( + ( / v1 8 ) ( * v3 4 ) ) ) )
3750,( == ( min ( * v0 8 ) ( + ( * v1 8 ) 29 ) ) ( min ( * v0 8 ) ( + ( * v1 8 ) 29 ) ) )
3751,( == ( min ( * ( min ( + ( + ( * ( / ( + ( - v0 v1 ) 12 ) 64 ) 64 ) v1 ) 51 ) v0 ) 8 ) ( + ( min ( * ( min ( - v0 v1 ) 51 ) 8 ) -103 ) ( * ( + ( min ( - 26 ( * ( max ( - v1 v0 ) -51 ) 2 ) ) ( + ( * ( min ( - v0 v1 ) 51 ) 2 ) 26 ) ) ( * ( + ( * ( / ( + ( - v0 v1 ) 12 ) 64 ) 64 ) v1 ) 2 ) ) 4 ) ) ) ( min ( * ( min ( + ( + ( * ( / ( + ( - v0 v1 ) 12 ) 64 ) 64 ) v1 ) 51 ) v0 ) 8 ) ( + ( min ( * ( min ( - v0 v1 ) 51 ) 8 ) -103 ) ( * ( + ( min ( - 26 ( * ( max ( - v1 v0 ) -51 ) 2 ) ) ( + ( * ( min ( - v0 v1 ) 51 ) 2 ) 26 ) ) ( * ( + ( * ( / ( + ( - v0 v1 ) 12 ) 64 ) 64 ) v1 ) 2 ) ) 4 ) ) ) )
3752,( == ( + ( / ( + v0 v1 ) 2 ) ( * v2 2 ) ) ( + ( / ( + v0 v1 ) 2 ) ( * v2 2 ) ) )
3753,( <= ( max ( + ( min 1999 ( - ( + ( * v2 4 ) ( + ( * ( min v1 15 ) 4 ) 4 ) ) 1 ) ) 1 ) ( min ( max 0 ( * v2 4 ) ) ( + ( + ( * ( min v1 15 ) 4 ) 4 ) ( * v2 4 ) ) ) ) ( min ( max 0 ( * v2 4 ) ) ( + ( + ( * ( min v1 15 ) 4 ) 4 ) ( * v2 4 ) ) ) )
3754,( == ( + ( max ( * v0 64 ) -10 ) ( min ( * v1 128 ) 872 ) ) ( + ( max ( * v0 64 ) -10 ) ( min ( * v1 128 ) 872 ) ) )
3755,( == ( + ( min ( * v0 32 ) 93 ) ( + ( min ( * v1 125 ) ( - v2 125 ) ) v3 ) ) ( + ( min ( * v0 32 ) 93 ) ( + ( min ( * v1 125 ) ( - v2 125 ) ) v3 ) ) )
3756,( == ( min ( - 125 ( * v0 8 ) ) ( + ( - v1 ( + ( * v0 8 ) ( * v2 126 ) ) ) 2 ) ) ( min ( - 125 ( * v0 8 ) ) ( + ( - v1 ( + ( * v0 8 ) ( * v2 126 ) ) ) 2 ) ) )
3757,( >= 0 ( - ( + 0 ( + ( / ( - 33 ( max ( - ( * v0 8 ) v1 ) ( + ( * v2 8 ) 29 ) ) ) 4 ) ( * v2 2 ) ) ) 1 ) )
3758,( >= ( max ( min v0 221 ) 0 ) ( + ( max ( min v0 221 ) 0 ) 1 ) )
3759,( == ( + ( * v0 8 ) ( * v1 5 ) ) ( + ( * v0 8 ) ( * v1 5 ) ) )
3760,( == ( / ( + ( - ( / ( max ( min ( + v0 v1 ) 1991 ) -8 ) 4 ) ( / ( - ( max ( min v1 2005 ) 6 ) 10 ) 4 ) ) 67 ) 64 ) ( / ( + ( - ( / ( max ( min ( + v0 v1 ) 1991 ) -8 ) 4 ) ( / ( - ( max ( min v1 2005 ) 6 ) 10 ) 4 ) ) 67 ) 64 ) )
3761,( == ( min ( / ( + ( * ( min ( - ( - ( / ( - ( + v0 v1 ) 1 ) 4 ) ( * v2 32 ) ) ( / v1 4 ) ) 31 ) 4 ) 70 ) 65 ) ( + ( max ( / ( - ( max v3 0 ) ( * v4 4 ) ) 65 ) -1 ) 1 ) ) ( min ( / ( + ( * ( min ( - ( - ( / ( - ( + v0 v1 ) 1 ) 4 ) ( * v2 32 ) ) ( / v1 4 ) ) 31 ) 4 ) 70 ) 65 ) ( + ( max ( / ( - ( max v3 0 ) ( * v4 4 ) ) 65 ) -1 ) 1 ) ) )
3762,( == ( / ( + ( - ( / ( + ( + v0 v1 ) 125 ) 63 ) ( / v1 63 ) ) 12 ) 8 ) ( / ( + ( - ( / ( + ( + v0 v1 ) 125 ) 63 ) ( / v1 63 ) ) 12 ) 8 ) )
3763,( == ( min ( min ( / ( + ( - ( + v0 v1 ) ( * v2 8 ) ) 10 ) 32 ) ( + ( / ( min ( - ( - ( * ( / ( + ( + v3 v4 ) 64 ) 65 ) 8 ) ( * v5 66 ) ) ( * ( / v4 65 ) 8 ) ) 52 ) 4 ) 5 ) ) ( / ( + ( min ( - ( - ( * ( / ( + ( + v3 v4 ) 64 ) 65 ) 8 ) ( * v5 66 ) ) ( * ( / v4 65 ) 8 ) ) 52 ) 23 ) 4 ) ) ( min ( min ( / ( + ( - ( + v0 v1 ) ( * v2 8 ) ) 10 ) 32 ) ( + ( / ( min ( - ( - ( * ( / ( + ( + v3 v4 ) 64 ) 65 ) 8 ) ( * v5 66 ) ) ( * ( / v4 65 ) 8 ) ) 52 ) 4 ) 5 ) ) ( / ( + ( min ( - ( - ( * ( / ( + ( + v3 v4 ) 64 ) 65 ) 8 ) ( * v5 66 ) ) ( * ( / v4 65 ) 8 ) ) 52 ) 23 ) 4 ) ) )
3764,( == ( - ( * ( / ( + ( + v0 v1 ) 63 ) 32 ) 4 ) ( + ( * v2 9 ) v3 ) ) ( - ( * ( / ( + ( + v0 v1 ) 63 ) 32 ) 4 ) ( + ( * v2 9 ) v3 ) ) )
3765,( == ( / ( + ( * ( - ( / ( - ( + v0 v1 ) 1 ) 62 ) ( / v1 62 ) ) 8 ) 43 ) 36 ) ( / ( + ( * ( - ( / ( - ( + v0 v1 ) 1 ) 62 ) ( / v1 62 ) ) 8 ) 43 ) 36 ) )
3766,( == ( + ( / v0 8 ) ( * v1 16 ) ) ( + ( / v0 8 ) ( * v1 16 ) ) )
3767,( == ( + ( * ( max ( min ( + ( + ( * v0 2 ) v1 ) v2 ) 499 ) 0 ) 2 ) ( + ( * v3 2 ) v4 ) ) ( + ( * ( max ( min ( + ( + ( * v0 2 ) v1 ) v2 ) 499 ) 0 ) 2 ) ( + ( * v3 2 ) v4 ) ) )
3768,( == ( - v0 ( * v1 127 ) ) ( - v0 ( * v1 127 ) ) )
3769,( != ( / ( + v0 9 ) 5 ) 0 )
3770,( == ( + ( max ( min ( / v0 63 ) 31 ) 0 ) ( * ( / v1 39 ) 8 ) ) ( + ( max ( min ( / v0 63 ) 31 ) 0 ) ( * ( / v1 39 ) 8 ) ) )
3771,( == ( - ( / ( + ( max ( min ( * v0 8 ) 3994 ) -5 ) 19 ) 2 ) ( / ( - ( max ( min ( * v0 8 ) 4012 ) 13 ) 19 ) 2 ) ) ( - ( / ( + ( max ( min ( * v0 8 ) 3994 ) -5 ) 19 ) 2 ) ( / ( - ( max ( min ( * v0 8 ) 4012 ) 13 ) 19 ) 2 ) ) )
3772,( == ( + ( * v0 14 ) ( + ( * v1 32 ) ( + ( * ( / v2 8 ) 2 ) v3 ) ) ) ( + ( * v0 14 ) ( + ( * v1 32 ) ( + ( * ( / v2 8 ) 2 ) v3 ) ) ) )
3773,( == ( max ( min ( * ( - ( max ( min v0 252 ) 3 ) ( max ( min v0 263 ) 14 ) ) 2 ) ( + ( - ( / ( - ( + v1 v2 ) 1 ) 4 ) ( * ( max ( min v0 263 ) 14 ) 2 ) ) 5 ) ) ( + ( min ( * v3 2 ) ( + ( max ( - ( max ( / ( + v2 6 ) 4 ) 1 ) ( * ( max ( min v0 263 ) 14 ) 2 ) ) -28 ) 3 ) ) 1 ) ) ( max ( min ( * ( - ( max ( min v0 252 ) 3 ) ( max ( min v0 263 ) 14 ) ) 2 ) ( + ( - ( / ( - ( + v1 v2 ) 1 ) 4 ) ( * ( max ( min v0 263 ) 14 ) 2 ) ) 5 ) ) ( + ( min ( * v3 2 ) ( + ( max ( - ( max ( / ( + v2 6 ) 4 ) 1 ) ( * ( max ( min v0 263 ) 14 ) 2 ) ) -28 ) 3 ) ) 1 ) ) )
3774,( == ( min ( + ( + ( * v0 250 ) ( + ( * v1 1000 ) v2 ) ) 250 ) ( + v2 v3 ) ) ( min ( + ( + ( * v0 250 ) ( + ( * v1 1000 ) v2 ) ) 250 ) ( + v2 v3 ) ) )
3775,( == ( - ( min ( * v0 8 ) 1962 ) ( + ( * v1 4 ) v2 ) ) ( - ( min ( * v0 8 ) 1962 ) ( + ( * v1 4 ) v2 ) ) )
3776,( == ( min ( + ( * v0 4 ) ( + ( * v1 32 ) v2 ) ) ( + v3 28 ) ) ( min ( + ( * v0 4 ) ( + ( * v1 32 ) v2 ) ) ( + v3 28 ) ) )
3777,( <= ( max ( + ( min 249 ( - ( + v2 ( + ( min v1 62 ) 1 ) ) 1 ) ) 1 ) ( min ( max 0 v2 ) ( + ( + ( min v1 62 ) 1 ) v2 ) ) ) ( min ( max 0 v2 ) ( + ( + ( min v1 62 ) 1 ) v2 ) ) )
3778,( == ( min ( - ( / ( + ( + v0 v1 ) 151 ) 8 ) ( / v1 8 ) ) ( + v2 13 ) ) ( min ( - ( / ( + ( + v0 v1 ) 151 ) 8 ) ( / v1 8 ) ) ( + v2 13 ) ) )
3779,( >= ( + v0 v1 ) ( + ( + ( - v0 1 ) v1 ) 1 ) )
3780,( && ( && ( && ( && ( && ( && 1 ( <= ( + ( + ( * 0 4 ) ( / ( - ( + ( min v0 4 ) v1 ) 4 ) 63 ) ) 0 ) ( + 0 ( / ( - ( + ( min v0 4 ) v1 ) 4 ) 63 ) ) ) ) ( >= ( + ( + ( * 0 4 ) ( + ( / ( - ( + ( min v0 4 ) v1 ) 4 ) 63 ) ( * ( / v2 4 ) 4 ) ) ) 3 ) ( + ( - ( + 4 0 ) 1 ) ( + ( / ( - ( + ( min v0 4 ) v1 ) 4 ) 63 ) ( * ( / v2 4 ) 4 ) ) ) ) ) ( <= v3 v3 ) ) ( >= v3 v3 ) ) ( <= ( + ( * v4 28 ) 0 ) ( + ( * v4 28 ) 0 ) ) ) ( >= ( + ( * v4 28 ) ( - ( + 28 0 ) 1 ) ) ( + ( * v4 28 ) ( - ( + 28 0 ) 1 ) ) ) )
3781,( == ( min ( max ( max ( - v0 40 ) v1 ) ( + v2 v1 ) ) ( + ( + ( min ( - ( - ( * ( / ( - ( + v3 v4 ) 1 ) 63 ) 64 ) ( * ( / v5 2 ) 260 ) ) ( * ( / v4 63 ) 64 ) ) 164 ) v0 ) 56 ) ) ( min ( max ( max ( - v0 40 ) v1 ) ( + v2 v1 ) ) ( + ( + ( min ( - ( - ( * ( / ( - ( + v3 v4 ) 1 ) 63 ) 64 ) ( * ( / v5 2 ) 260 ) ) ( * ( / v4 63 ) 64 ) ) 164 ) v0 ) 56 ) ) )
3782,( >= ( max ( / ( - v0 12 ) 500 ) 0 ) ( - ( + ( max ( / ( - v0 12 ) 500 ) 0 ) ( max ( - ( / ( + v0 499 ) 500 ) ( max ( / ( - v0 12 ) 500 ) 0 ) ) 0 ) ) 1 ) )
3783,( == ( / ( + ( * ( - ( / ( - ( + v0 v1 ) 1 ) 250 ) ( / v1 250 ) ) 8 ) 29 ) 22 ) ( / ( + ( * ( - ( / ( - ( + v0 v1 ) 1 ) 250 ) ( / v1 250 ) ) 8 ) 29 ) 22 ) )
3784,( <= ( max 0 ( + ( min ( - 115 ( * ( % v0 8 ) 15 ) ) ( - ( + 0 15 ) 1 ) ) 1 ) ) 0 )
3785,( == ( + ( max ( * v0 32 ) -9 ) ( + ( * v1 1008 ) v2 ) ) ( + ( max ( * v0 32 ) -9 ) ( + ( * v1 1008 ) v2 ) ) )
3786,( == ( + ( * v0 8 ) ( + ( * v1 34 ) v2 ) ) ( + ( * v0 8 ) ( + ( * v1 34 ) v2 ) ) )
3787,( == ( - -4 ( max v0 0 ) ) ( - ( + ( - -4 ( max v0 0 ) ) ( + ( max v0 0 ) 7 ) ) 1 ) )
3788,( == ( min ( - ( max ( min ( / ( + ( + v0 v1 ) 7 ) 8 ) 249 ) 0 ) ( max ( min ( / v1 8 ) 256 ) 7 ) ) ( + v2 127 ) ) ( min ( - ( max ( min ( / ( + ( + v0 v1 ) 7 ) 8 ) 249 ) 0 ) ( max ( min ( / v1 8 ) 256 ) 7 ) ) ( + v2 127 ) ) )
3789,( == ( min ( + v0 39 ) v1 ) ( min ( + v0 39 ) v1 ) )
3790,( == ( + ( min ( * v0 504 ) 502 ) ( + ( * v1 1000 ) v2 ) ) ( + ( min ( * v0 504 ) 502 ) ( + ( * v1 1000 ) v2 ) ) )
3791,( == ( min ( * ( - ( / ( + ( + v0 v1 ) 7 ) 8 ) ( / v1 8 ) ) 8 ) ( + ( * v2 8 ) 62 ) ) ( min ( * ( - ( / ( + ( + v0 v1 ) 7 ) 8 ) ( / v1 8 ) ) 8 ) ( + ( * v2 8 ) 62 ) ) )
3792,( == ( * ( / ( * ( % v0 ( / ( + v1 66 ) 64 ) ) -64 ) 16 ) 16 ) ( * ( % v0 ( / ( + v1 66 ) 64 ) ) -64 ) )
3793,( == ( + ( / ( - ( / ( + ( + v0 v1 ) 191 ) 64 ) ( / ( - v1 136 ) 64 ) ) 13 ) 1 ) ( + ( / ( - ( / ( + ( + v0 v1 ) 191 ) 64 ) ( / ( - v1 136 ) 64 ) ) 13 ) 1 ) )
3794,( == ( - ( / ( + ( + v0 v1 ) 135 ) 128 ) ( + ( * v2 2 ) v3 ) ) ( - ( / ( + ( + v0 v1 ) 135 ) 128 ) ( + ( * v2 2 ) v3 ) ) )
3795,( == ( + ( / ( + ( min ( * v0 125 ) ( - v1 125 ) ) v2 ) 8 ) ( * v3 4 ) ) ( + ( / ( + ( min ( * v0 125 ) ( - v1 125 ) ) v2 ) 8 ) ( * v3 4 ) ) )
3796,( == ( / ( + ( * ( - ( / ( + ( + v0 v1 ) 1999 ) 2000 ) ( / v1 2000 ) ) 2048 ) 4652 ) 396 ) ( / ( + ( * ( - ( / ( + ( + v0 v1 ) 1999 ) 2000 ) ( / v1 2000 ) ) 2048 ) 4652 ) 396 ) )
3797,( == ( - ( max ( min ( + ( * v0 4 ) v1 ) ( + ( min v2 990 ) 15 ) ) 6 ) ( + ( max ( min ( + ( * v0 4 ) v1 ) ( + ( min v2 993 ) 15 ) ) 9 ) ( * v3 4 ) ) ) ( - ( max ( min ( + ( * v0 4 ) v1 ) ( + ( min v2 990 ) 15 ) ) 6 ) ( + ( max ( min ( + ( * v0 4 ) v1 ) ( + ( min v2 993 ) 15 ) ) 9 ) ( * v3 4 ) ) ) )
3798,( && ( && ( && ( && ( && ( && 1 ( <= ( - ( + ( * v0 7 ) v1 ) 3 ) ( - ( + ( + ( * v0 7 ) 0 ) v1 ) 3 ) ) ) ( >= ( + ( + ( * v0 7 ) v1 ) 3 ) ( - ( + ( + ( * v0 7 ) ( - ( + 7 0 ) 1 ) ) v1 ) 3 ) ) ) ( <= ( + ( + ( * v2 4 ) v3 ) 0 ) ( + ( + ( * v2 4 ) 0 ) v3 ) ) ) ( >= ( + ( + ( * v2 4 ) v3 ) 3 ) ( + ( + ( * v2 4 ) ( - ( + 4 0 ) 1 ) ) v3 ) ) ) ( <= v4 v4 ) ) ( >= v4 v4 ) )
3799,( == ( min ( * v0 8 ) ( + ( + ( * v1 252 ) v2 ) 250 ) ) ( min ( * v0 8 ) ( + ( + ( * v1 252 ) v2 ) 250 ) ) )
3800,( == ( + ( / v0 2 ) ( * v1 336 ) ) ( + ( / v0 2 ) ( * v1 336 ) ) )
3801,( == ( * ( / ( * ( / ( + ( + ( max ( * v0 8 ) -3 ) ( * v0 -8 ) ) ( + ( + ( min ( * v1 16 ) 109 ) ( + v2 ( min ( * v3 125 ) ( - v4 125 ) ) ) ) 3 ) ) 2 ) -2 ) 2 ) 2 ) ( * ( / ( + ( + ( max ( * v0 8 ) -3 ) ( * v0 -8 ) ) ( + ( + ( min ( * v1 16 ) 109 ) ( + v2 ( min ( * v3 125 ) ( - v4 125 ) ) ) ) 3 ) ) 2 ) -2 ) )
3802,( != ( + v0 1 ) 0 )
3803,( == ( - ( min ( + ( + ( min ( * v0 8 ) 4 ) ( * ( / v1 65 ) 8 ) ) 72 ) ( + ( * v2 -84 ) ( * ( / ( - ( + v3 v1 ) 1 ) 65 ) 8 ) ) ) ( * v0 8 ) ) ( - ( min ( + ( + ( min ( * v0 8 ) 4 ) ( * ( / v1 65 ) 8 ) ) 72 ) ( + ( * v2 -84 ) ( * ( / ( - ( + v3 v1 ) 1 ) 65 ) 8 ) ) ) ( * v0 8 ) ) )
3804,( == ( + ( max ( min v0 499 ) 0 ) ( * v1 16 ) ) ( + ( max ( min v0 499 ) 0 ) ( * v1 16 ) ) )
3805,( == ( + ( min ( * v0 4 ) 21 ) ( * v1 8 ) ) ( + ( min ( * v0 4 ) 21 ) ( * v1 8 ) ) )
3806,( != ( / ( + ( * v0 8 ) 144 ) 131 ) 0 )
3807,( == ( * ( / ( * ( max ( * v0 8 ) -2 ) -1 ) 2 ) 2 ) ( * ( max ( * v0 8 ) -2 ) -1 ) )
3808,( == ( min ( + ( + ( * ( / v0 63 ) 64 ) ( + ( min ( + ( * ( / v1 2 ) -260 ) ( * ( - ( / ( - ( + v2 v0 ) 1 ) 63 ) ( / v0 63 ) ) 64 ) ) -92 ) ( * ( / ( min ( * v3 64 ) ( + ( * ( / v1 2 ) 260 ) 164 ) ) 4 ) 4 ) ) ) 92 ) v4 ) ( min ( + ( + ( * ( / v0 63 ) 64 ) ( + ( min ( + ( * ( / v1 2 ) -260 ) ( * ( - ( / ( - ( + v2 v0 ) 1 ) 63 ) ( / v0 63 ) ) 64 ) ) -92 ) ( * ( / ( min ( * v3 64 ) ( + ( * ( / v1 2 ) 260 ) 164 ) ) 4 ) 4 ) ) ) 92 ) v4 ) )
3809,( && ( && ( && ( && ( && ( && 1 ( <= ( - ( + ( * ( + ( * v5 2 ) v6 ) 2 ) 0 ) 8 ) ( - ( * ( + ( * v5 2 ) v6 ) 2 ) 8 ) ) ) ( >= ( - ( + ( * ( + ( * v5 2 ) v6 ) 2 ) 3 ) 8 ) ( - ( + ( * ( + ( * v5 2 ) v6 ) 2 ) 3 ) 8 ) ) ) ( <= ( + ( * ( + ( * v1 4 ) v2 ) 2 ) ( + ( * v3 16 ) v4 ) ) ( + ( + ( * v3 16 ) v4 ) ( * ( + ( * v1 4 ) v2 ) 2 ) ) ) ) ( >= ( + ( + ( * ( + ( * v1 4 ) v2 ) 2 ) ( + ( * v3 16 ) v4 ) ) 1 ) ( + ( + ( * v3 16 ) v4 ) ( + ( * ( + ( * v1 4 ) v2 ) 2 ) 1 ) ) ) ) ( <= v7 v7 ) ) ( >= v7 v7 ) )
3810,( == ( + ( min ( * v0 68 ) 64 ) ( + ( min ( * v1 36 ) 32 ) v2 ) ) ( + ( min ( * v0 68 ) 64 ) ( + ( min ( * v1 36 ) 32 ) v2 ) ) )
3811,( < ( - ( + v0 v1 ) 2 ) ( - ( + ( + v0 1 ) v1 ) 2 ) )
3812,( >= ( / ( + ( - ( max ( + v0 v1 ) 2000 ) ( min v1 0 ) ) 529 ) 506 ) 0 )
3813,( == 0 ( - ( + 0 ( + ( * ( min ( - ( - ( / ( + ( + v0 v1 ) 15 ) 8 ) ( * v2 4 ) ) ( / v1 8 ) ) -1 ) 2 ) 10 ) ) 1 ) )
3814,( == ( min ( - ( max ( min ( + ( min ( * v0 128 ) 127 ) v1 ) 1117 ) 118 ) ( max ( min ( + ( min ( * v0 128 ) 127 ) v1 ) 1244 ) 245 ) ) v2 ) ( min ( - ( max ( min ( + ( min ( * v0 128 ) 127 ) v1 ) 1117 ) 118 ) ( max ( min ( + ( min ( * v0 128 ) 127 ) v1 ) 1244 ) 245 ) ) v2 ) )
3815,( == ( min ( + ( max ( * ( max ( min v0 250 ) 1 ) 8 ) 10 ) ( * v1 4 ) ) ( + ( max ( * v2 8 ) -285 ) 297 ) ) ( min ( + ( max ( * ( max ( min v0 250 ) 1 ) 8 ) 10 ) ( * v1 4 ) ) ( + ( max ( * v2 8 ) -285 ) 297 ) ) )
3816,( == ( / ( + ( - v0 v1 ) 22 ) 17 ) ( / ( + ( - v0 v1 ) 22 ) 17 ) )
3817,( && ( && ( && ( && ( && ( && 1 ( <= ( - ( * ( + ( + ( * v0 16 ) v1 ) v2 ) 2 ) 4 ) ( - ( * ( + ( + ( * v0 16 ) v1 ) v2 ) 2 ) 4 ) ) ) ( >= ( + ( * ( + ( + ( * v0 16 ) v1 ) v2 ) 2 ) ( - ( - 6 4 ) 1 ) ) ( + ( * ( + ( + ( * v0 16 ) v1 ) v2 ) 2 ) ( - ( - 6 4 ) 1 ) ) ) ) ( <= ( + 0 ( - ( * v3 2 ) 4 ) ) ( - ( * ( + ( + ( * 0 4 ) v3 ) 0 ) 2 ) 4 ) ) ) ( >= ( + 3 ( + ( * v3 2 ) 60 ) ) ( + ( * ( + ( + ( * 7 4 ) v3 ) ( - ( + 4 0 ) 1 ) ) 2 ) ( - ( - 6 4 ) 1 ) ) ) ) ( <= v4 v4 ) ) ( >= v4 v4 ) )
3818,( == ( - ( max ( min ( / ( + ( + v0 v1 ) 71 ) 8 ) 249 ) 0 ) ( + ( * v2 4 ) v3 ) ) ( - ( max ( min ( / ( + ( + v0 v1 ) 71 ) 8 ) 249 ) 0 ) ( + ( * v2 4 ) v3 ) ) )
3819,( == ( / ( + ( - ( max ( min ( * ( / ( - ( + v0 v1 ) 1 ) 63 ) 64 ) 1938 ) -61 ) ( max ( min ( * ( / v1 63 ) 64 ) 2044 ) 45 ) ) 773 ) 667 ) ( / ( + ( - ( max ( min ( * ( / ( - ( + v0 v1 ) 1 ) 63 ) 64 ) 1938 ) -61 ) ( max ( min ( * ( / v1 63 ) 64 ) 2044 ) 45 ) ) 773 ) 667 ) )
3820,( == ( - ( * v0 8 ) 312 ) ( - ( + ( - ( * v0 8 ) 312 ) 64 ) 1 ) )
3821,( == ( min ( + ( max ( min ( + ( min ( * v0 63 ) 62 ) ( + v1 v2 ) ) 1937 ) -62 ) 60 ) v3 ) ( min ( + ( max ( min ( + ( min ( * v0 63 ) 62 ) ( + v1 v2 ) ) 1937 ) -62 ) 60 ) v3 ) )
3822,( == ( min ( max ( min ( * ( / ( + ( * ( / ( + ( + v0 v1 ) 7 ) 8 ) 8 ) 68 ) 63 ) 8 ) 244 ) -5 ) ( + ( + ( max ( min ( * ( / ( - ( * ( / v1 8 ) 8 ) 5 ) 63 ) 8 ) 253 ) 4 ) ( * v2 12 ) ) 2 ) ) ( min ( max ( min ( * ( / ( + ( * ( / ( + ( + v0 v1 ) 7 ) 8 ) 8 ) 68 ) 63 ) 8 ) 244 ) -5 ) ( + ( + ( max ( min ( * ( / ( - ( * ( / v1 8 ) 8 ) 5 ) 63 ) 8 ) 253 ) 4 ) ( * v2 12 ) ) 2 ) ) )
3823,( == ( min ( - ( max ( min v0 250 ) 1 ) ( max ( min ( / ( + v1 v2 ) 8 ) 249 ) 0 ) ) v3 ) ( min ( - ( max ( min v0 250 ) 1 ) ( max ( min ( / ( + v1 v2 ) 8 ) 249 ) 0 ) ) v3 ) )
3824,( == ( * ( / ( * ( % v0 ( / ( + ( * v1 8 ) 40 ) 33 ) ) -33 ) 11 ) 11 ) ( * ( % v0 ( / ( + ( * v1 8 ) 40 ) 33 ) ) -33 ) )
3825,( == 0 ( - ( + 0 ( - 128 ( * ( max ( min ( + ( * v0 2 ) v1 ) 32 ) 31 ) 4 ) ) ) 1 ) )
3826,( == ( min ( + ( + ( * v0 12 ) v1 ) 3 ) v2 ) ( min ( + ( + ( * v0 12 ) v1 ) 3 ) v2 ) )
3827,( == ( max ( min ( / ( + ( + v0 v1 ) 132 ) 8 ) 249 ) ( + ( * ( / ( + ( + v0 v1 ) 260 ) 128 ) 16 ) 9 ) ) ( max ( min ( / ( + ( + v0 v1 ) 132 ) 8 ) 249 ) ( + ( * ( / ( + ( + v0 v1 ) 260 ) 128 ) 16 ) 9 ) ) )
